"stdliv_next5","stdliv_next5_di","stdliv_past5","stdliv_past5_di","cat_age","wave","female","education","EGP6","income","pensions","unemployed","car_owner","cntry","y1"
3,3,3,3,1,1993,1,3,"4",2,0,0,0,"belarus",568
1,1,1,1,4,1993,1,3,"1",1,1,0,0,"belarus",891
3,3,5,2,1,1993,1,3,"1",2,0,0,1,"belarus",72
1,1,2,1,3,1993,1,1,"5",1,0,0,0,"belarus",910
1,1,1,1,2,1993,1,3,"4",3,0,0,0,"belarus",596
3,3,2,1,2,1993,0,1,"6",3,0,0,0,"belarus",1165
3,3,1,1,2,1993,1,3,"2",1,0,1,0,"belarus",947
4,2,4,2,2,1993,1,2,"1",1,0,0,0,"belarus",1078
4,2,4,2,2,1993,0,2,"4",3,0,0,0,"belarus",37
3,3,2,1,2,1993,0,2,"5",3,0,0,1,"belarus",255
4,2,4,2,2,1993,1,3,"3",3,0,0,1,"belarus",202
5,2,1,1,1,1993,0,3,"1",3,0,0,1,"belarus",85
2,1,3,3,3,1993,1,3,"1",1,1,0,0,"belarus",322
2,1,3,3,3,1993,1,3,"4",3,0,0,0,"belarus",586
4,2,3,3,2,1993,0,3,"4",1,0,0,0,"belarus",231
3,3,3,3,2,1993,0,2,"1",1,0,1,1,"belarus",1221
3,3,2,1,4,1993,1,1,"6",1,1,0,0,"belarus",1160
3,3,2,1,4,1993,1,1,"4",1,0,0,0,"belarus",1145
3,3,3,3,2,1993,1,3,"1",3,0,0,0,"belarus",898
3,3,4,2,3,1993,1,3,"1",3,0,0,1,"belarus",201
1,1,1,1,4,1993,0,3,"4",1,1,0,1,"belarus",846
1,1,1,1,3,1993,0,3,"4",1,0,0,0,"belarus",647
1,1,2,1,2,1993,1,3,"1",3,0,0,0,"belarus",128
1,1,1,1,1,1993,0,2,"6",1,0,0,0,"belarus",675
3,3,4,2,1,1993,0,3,"3",3,0,0,0,"belarus",732
2,1,2,1,2,1993,1,2,"4",3,0,0,1,"belarus",954
3,3,1,1,2,1993,0,3,"4",1,0,0,0,"belarus",618
2,1,2,1,3,1993,1,3,"1",1,0,0,0,"belarus",1307
3,3,1,1,4,1993,1,3,"2",1,1,0,0,"belarus",695
3,3,1,1,4,1993,1,3,"1",1,1,0,0,"belarus",1257
4,2,1,1,2,1993,0,2,"4",2,0,0,0,"belarus",245
1,1,2,1,3,1993,1,3,"4",3,0,0,1,"belarus",187
3,3,1,1,4,1993,1,1,"5",1,1,0,0,"belarus",1185
5,2,5,2,1,1993,0,3,"4",1,0,1,0,"belarus",1232
4,2,3,3,2,1993,0,2,"6",2,0,0,0,"belarus",889
1,1,2,1,3,1993,1,3,"1",1,0,0,0,"belarus",226
2,1,1,1,3,1993,1,3,"1",2,0,0,0,"belarus",1081
1,1,1,1,4,1993,0,1,"4",1,0,0,0,"belarus",708
3,3,2,1,2,1993,1,3,"4",2,0,0,0,"belarus",1251
3,3,1,1,2,1993,1,3,"1",1,0,0,0,"belarus",808
3,3,3,3,4,1993,0,2,"5",1,0,0,0,"belarus",923
1,1,1,1,3,1993,0,2,"6",1,0,0,0,"belarus",711
2,1,1,1,2,1993,1,2,"1",1,0,0,0,"belarus",22
3,3,2,1,4,1993,0,3,"1",2,1,0,0,"belarus",1155
3,3,1,1,2,1993,0,1,"6",2,0,0,0,"belarus",349
1,1,1,1,3,1993,0,3,"1",3,0,0,1,"belarus",399
1,1,1,1,3,1993,1,2,"5",1,1,0,0,"belarus",666
4,2,1,1,4,1993,1,3,"4",1,1,0,0,"belarus",689
1,1,1,1,2,1993,0,2,"6",1,0,0,1,"belarus",678
2,1,2,1,2,1993,0,3,"1",1,0,0,0,"belarus",825
3,3,3,3,2,1993,1,3,"1",3,0,0,0,"belarus",853
3,3,3,3,2,1993,0,3,"1",1,0,0,0,"belarus",275
3,3,2,1,3,1993,0,1,"4",1,0,0,1,"belarus",653
